matchId,position,positionStringShort,positionRow,isCaptain,minutesPlayed,isGoalkeeper,name,rating,fantasyScore,goal,assist,subbedOutTime,subbedInTime,yellowCard,redCard,total_shots,accurate_passes_rate(%),chances_created,expected_goals(xG),expected_goals_on_target(xGOT),expected_assists(xA),xG+xA,shot_accuracy(%),blocked_shots,touches,touches_in_opposition_box,passes_into_final_third,long_balls_accuracy(%),dispossessed,xG_Non_penalty,tackles_won_rate(%),clearances,headed_clearance,defensive_actions,recoveries,dribbled_past,duels_won,duels_lost,ground_duels_won_rate(%),aerial_duels_won_rate(%),was_fouled,fouls_commited,dribble_success_rate(%),penalties_won,big_chances_missed,crosses_success_rate(%),accurate_passes,shot_accuracy,successful_dribbles,tackles_won,ground_duels_won,aerial_duels_won
4193527,Defender,CB,1,False,90,False,Cristian Romero,8.2,1,0,0,,,1,0,2,95,1,0.11,0,0.07,0.18,0,2,114,0,4,100,0,0.11,100,1,1,8,7,1,10,3,71,83,3,1,0,0,0,0
4193527,Defender,CB,1,False,90,False,Micky van de Ven,7.3,2,0,0,,,0,0,0,98,0,0,0,0.02,0.02,0,0,61,0,8,0,0,0,100,1,0,3,7,0,2,1,100,0,0,0,0,0,0,0
4193527,Defender,LB,1,False,83,False,Iyenoma Udogie,7.6,1,0,0,83,,1,0,0,89,3,0,0,0.17,0.17,0,0,61,0,4,0,0,0,50,3,0,10,4,2,6,7,50,0,3,3,50,0,0,0
4193527,Midfielder,DM,2,False,83,False,Pape Sarr,7.4,2,0,0,83,,0,0,2,91,0,0.07,0.04,0.03,0.1,50,0,85,0,6,100,2,0.07,100,1,1,5,4,0,5,3,60,67,0,0,100,0,0,0
4193527,Midfielder,DM,2,False,89,False,Yves Bissouma,7.9,1,0,0,90,,1,0,2,95,0,0.11,0.04,0.09,0.2,0,1,139,0,8,100,1,0.11,75,2,2,9,7,0,8,4,67,0,4,2,0,0,0,0
4193527,Midfielder,RW,4,False,90,False,Dejan Kulusevski,8.2,2,0,0,,,0,0,2,83,5,0.07,0,0.15,0.22,0,2,68,0,1,100,1,0.07,0,0,0,0,8,0,5,3,63,0,1,0,67,0,0,0
4193527,Midfielder,AM,4,False,89,False,James Maddison,7.7,2,0,0,90,,0,0,4,87,4,0.15,0.67,0.24,0.39,100,2,102,0,11,33,0,0.15,0,0,0,0,2,1,2,5,40,0,2,0,0,0,0,8
4193527,Midfielder,LW,4,False,90,False,Richarlison,8.2,5,0,1,,,0,0,5,81,2,0.78,0.27,0.36,1.14,50,1,49,0,2,0,0,0.78,0,1,1,8,5,1,7,8,55,25,3,3,50,0,1,0
4193527,Attacker,ST,5,True,69,False,Heung-Min Son,7.6,7,1,0,69,,0,0,4,81,0,0.87,1.24,0.12,0.99,100,1,25,0,1,0,1,0.87,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0
4193536,Attacker,ST,5,True,76,False,Heung-Min Son,6.9,3,0,0,76,,0,0,3,90,2,0.24,0.1,0.45,0.69,50,1,31,5,1,0,1,0.24,0,0,0,1,0,0,3,2,60,0,2,0,0,0,0,0
4193536,Midfielder,LW,4,False,45,False,Richarlison,6.6,1,0,0,46,,0,0,4,78,0,0.85,0.42,0.09,0.94,25,0,41,6,2,0,3,0.85,100,0,0,3,3,0,7,7,44,60,2,0,0,0,2,50
4193536,Midfielder,AM,4,False,76,False,James Maddison,8.1,6,0,1,76,,0,0,2,80,4,0.2,0,0.51,0.71,0,0,54,8,7,40,1,0.2,50,0,0,3,2,0,7,4,64,0,4,1,33,0,0,20
4193536,Midfielder,RW,4,False,89,False,Dejan Kulusevski,6.5,3,0,0,90,,0,0,1,80,1,0.03,0.45,0.33,0.36,100,0,51,11,2,50,5,0.03,0,0,0,1,5,1,4,10,31,0,1,1,50,0,0,67
4193536,Midfielder,DM,2,False,45,False,Yves Bissouma,6.0,-2,0,0,,,0,0,0,88,0,0,0,0.4,0.4,0,0,52,0,3,100,0,0,100,0,0,3,2,0,2,1,67,0,0,2,100,0,0,0
4193536,Midfielder,DM,2,False,90,False,Pape Sarr,8.2,3,0,0,,,0,0,0,91,3,0,0,0.1,0.1,0,0,79,1,6,0,0,0,100,0,0,5,6,1,5,4,63,0,0,0,60,0,0,0
4193536,Defender,LB,1,False,82,False,Iyenoma Udogie,7.3,6,0,0,82,,0,0,0,82,0,0,0,0.05,0.05,0,0,53,3,4,0,0,0,0,4,4,9,4,2,7,4,50,100,0,1,50,0,0,0
4193536,Defender,CB,1,False,90,False,Micky van de Ven,8.3,12 + 3,1,0,,,0,0,2,94,0,0.23,0.09,0.01,0.24,50,0,78,1,7,67,0,0.23,100,1,1,4,6,0,4,0,100,100,1,0,0,0,0,0
4193536,Defender,CB,1,False,90,False,Cristian Romero,8.6,6 + 2,0,0,,,0,0,0,90,1,0,0,0.03,0.03,0,0,106,1,9,17,0,0,67,12,3,18,5,1,11,3,86,71,3,0,0,0,0,0
4193536,Defender,RB,1,False,90,False,Pedro Porro,7.7,6,0,0,,,0,0,2,80,0,0.36,0,0.03,0.39,0,0,103,4,7,40,0,0.36,100,4,2,9,9,2,6,6,44,67,2,1,0,0,1,0
4193536,Keeper,GK,0,False,90,True,Guglielmo Vicario,7.5,6 + 1,0,0,,,0,0,0,78,0,0,0,0,0,0,0,59,0,0,27,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
4193549,Keeper,GK,0,False,90,True,Guglielmo Vicario,8.4,6,0,0,,,1,0,0,82,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
4193549,Defender,RB,1,False,90,False,Pedro Porro,7.6,6,0,0,,,0,0,1,85,0,0.01,0,0.02,0.03,0,1,71,0,6,100,0,0.01,100,0,0,6,4,2,8,4,60,100,1,2,100,0,0,0
4193549,Defender,CB,1,False,90,False,Cristian Romero,7.9,6 + 2,0,0,,,0,0,0,92,1,0,0,0.26,0.26,0,0,123,1,5,17,0,0,100,2,1,4,8,0,3,2,100,33,0,0,100,0,0,0
4193549,Defender,CB,1,False,90,False,Micky van de Ven,7.1,6,0,0,,,0,0,1,92,0,0.08,0,0.01,0.09,0,0,80,1,10,0,1,0.08,0,5,5,8,4,0,3,3,60,0,1,0,0,0,0,0
4193549,Defender,LB,1,False,56,False,Iyenoma Udogie,6.5,1,0,0,56,,0,0,1,79,0,0.1,0,0.04,0.14,0,1,56,3,0,0,1,0.1,0,1,0,3,3,1,2,4,20,100,1,2,0,0,0,0
4193549,Midfielder,DM,2,False,62,False,Pape Sarr,7.1,3,0,0,62,,0,0,0,93,1,0,0,0.02,0.02,0,0,51,1,3,0,0,0,0,0,0,2,8,0,0,3,0,0,0,1,0,0,0,0
4193549,Midfielder,DM,2,False,90,False,Pierre-Emile Højbjerg,7.6,2,0,0,,,1,0,1,95,0,0.05,0.03,0.05,0.1,100,0,90,1,15,80,0,0.05,0,0,0,5,5,1,5,3,57,100,3,2,0,0,0,0
4193549,Midfielder,RW,4,False,90,False,Dejan Kulusevski,6.8,3,0,0,,,0,0,2,68,1,0.22,0,0.32,0.54,0,2,41,6,0,0,1,0.22,0,0,0,4,3,2,3,8,27,0,0,3,50,0,0,0
4193549,Midfielder,AM,4,False,82,False,James Maddison,8.7,8 + 1,1,0,82,,0,0,3,86,4,0.61,0.74,0.15,0.76,100,1,64,9,8,67,1,0.61,67,0,0,3,2,2,9,4,69,0,4,0,67,0,1,50
4193549,Midfielder,LW,4,False,81,False,Richarlison,7.4,6,0,1,81,,0,0,3,71,1,0.17,0,0.08,0.25,0,1,49,7,1,100,4,0.17,100,2,2,4,5,0,3,5,43,0,2,0,0,0,0,0
4193549,Attacker,ST,5,True,82,False,Heung-Min Son,8.7,11 + 3,1,1,82,,0,0,3,83,4,0.29,0.49,0.17,0.46,67,0,37,4,2,0,3,0.29,100,0,0,1,5,1,4,5,44,0,0,0,75,0,0,0
4193555,Attacker,ST,5,True,90,False,Heung-Min Son,7.7,7 + 3,1,0,,,0,0,2,85,1,0.82,0.78,0.03,0.85,100,1,29,2,2,100,0,0.82,0,0,0,2,0,0,1,3,25,0,0,2,50,0,0,0
4193555,Midfielder,LW,4,False,64,False,Richarlison,6.6,3,0,0,64,,0,0,1,74,1,0.02,0,0.09,0.11,0,0,52,3,2,50,4,0.02,100,2,0,7,5,0,4,9,20,67,1,2,0,0,0,0
4193555,Midfielder,AM,4,False,89,False,James Maddison,7.0,6,0,0,89,,0,0,2,86,2,0.08,0,0.03,0.11,0,0,57,5,5,0,2,0.08,0,1,0,3,1,0,4,5,44,0,2,1,33,0,0,33
4193555,Midfielder,RW,4,False,89,False,Dejan Kulusevski,7.1,3,0,0,90,,0,0,1,93,0,0.03,0,0.04,0.07,0,1,43,1,2,0,0,0.03,0,0,0,2,4,0,3,2,60,0,2,1,50,0,0,50
4193555,Midfielder,DM,2,False,64,False,Yves Bissouma,7.4,3,0,0,64,,0,0,1,95,0,0.03,0,0.02,0.05,0,0,83,0,6,100,3,0.03,33,1,1,6,3,0,8,4,67,0,4,0,50,0,0,0
4193555,Midfielder,DM,2,False,90,False,Pape Sarr,7.3,2,0,0,,,0,0,0,89,0,0,0,0.04,0.04,0,0,92,2,7,75,1,0,0,2,1,7,6,1,3,5,33,50,1,2,100,0,0,0
4193555,Defender,LB,1,False,45,False,Ben Davies,6.7,1,0,0,46,,0,0,0,95,0,0,0,0,0,0,0,32,1,3,0,0,0,100,2,2,4,1,0,1,1,50,0,0,0,0,0,0,0
4193555,Defender,CB,1,False,90,False,Micky van de Ven,7.5,2,0,0,,,0,0,0,99,0,0,0,0.01,0.01,0,0,111,0,7,90,0,0,50,4,1,6,6,0,6,3,75,0,3,0,33,0,0,0
4193555,Defender,CB,1,False,90,False,Cristian Romero,7.6,2 + 2,0,0,,,0,0,0,93,0,0,0,0.01,0.01,0,0,158,0,10,38,0,0,100,4,1,7,7,0,2,0,100,100,0,0,0,0,0,0
4193555,Defender,RB,1,False,90,False,Pedro Porro,7.4,2,0,0,,,0,0,1,84,0,0.03,0,0.03,0.06,0,1,106,1,12,63,0,0.03,67,1,0,8,8,5,6,7,46,0,0,1,0,0,0,0
4193555,Keeper,GK,0,False,90,True,Guglielmo Vicario,7.5,2 + 1,0,0,,,0,0,0,96,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
4193569,Keeper,GK,0,False,90,True,Guglielmo Vicario,7.5,1,0,0,,,0,0,0,64,0,0,0,0,0,0,0,53,0,0,22,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
4193569,Defender,RB,1,False,90,False,Pedro Porro,6.1,0,0,0,,,0,0,1,68,1,0.03,0.19,0.34,0.37,100,0,61,1,5,33,0,0.03,100,3,1,11,7,4,8,10,47,0,3,3,33,0,0,50
4193569,Defender,CB,1,False,33,False,Cristian Romero,5.0,-4,0,0,,,0,1,0,88,0,0,0,0,0,0,0,22,0,0,100,0,0,0,1,1,4,1,0,0,1,0,0,0,1,0,0,0,0
4193569,Defender,CB,1,False,45,False,Micky van de Ven,6.5,1,0,0,45,,0,0,0,83,0,0,0,0,0,0,0,25,0,1,0,0,0,100,1,1,2,3,1,2,1,50,100,0,0,0,0,0,0
4193569,Defender,LB,1,False,55,False,Iyenoma Udogie,5.4,-4,0,0,,,0,0,0,67,0,0,0,0.01,0.01,0,0,33,1,2,0,0,0,100,1,0,7,1,2,4,8,40,0,2,3,0,0,0,0
4193569,Midfielder,DM,2,False,90,False,Yves Bissouma,6.3,2,0,0,,,0,0,1,90,0,0.08,0,0.01,0.09,0,1,62,3,5,100,1,0.08,25,1,1,9,2,1,8,4,67,0,2,2,100,0,0,0
4193569,Midfielder,DM,2,False,61,False,Pape Sarr,7.9,4,0,1,61,,1,0,1,80,2,0.02,0.24,0.11,0.13,0,1,36,2,6,0,0,0.02,100,0,0,3,5,0,4,2,67,0,1,1,50,0,0,0
4193569,Midfielder,RW,4,False,61,False,Dejan Kulusevski,7.7,7,1,0,61,,0,0,1,71,1,0.07,0.07,0.02,0.09,100,0,28,6,3,0,2,0.07,75,0,0,5,3,1,6,5,55,0,1,1,50,0,0,0
4193569,Midfielder,AM,4,False,45,False,James Maddison,6.0,1,0,0,45,,0,0,0,82,0,0,0,0.01,0.01,0,0,21,1,0,100,0,0,0,0,0,4,1,0,2,4,33,0,1,1,0,0,0,0
4193569,Midfielder,LW,4,False,34,False,Brennan Johnson,6.0,1,0,0,34,,0,0,0,83,0,0,0,0.03,0.03,0,0,10,2,2,0,0,0,0,0,0,1,1,1,1,2,0,100,0,0,0,0,0,100
4193569,Attacker,ST,5,True,90,False,Heung-Min Son,6.1,2,0,0,,,0,0,2,86,0,0.2,0.21,0.01,0.21,100,0,24,4,0,100,0,0.2,0,0,0,1,0,0,1,3,33,0,1,0,0,0,0,0
4193579,Attacker,ST,5,False,75,False,Brennan Johnson,7.7,8 + 1,1,0,75,,0,0,2,73,0,0.41,0.92,0.02,0.43,50,0,41,3,5,50,0,0.41,100,0,0,2,5,0,3,2,60,0,2,1,0,0,0,0
4193579,Attacker,ST,5,True,90,False,Heung-Min Son,6.4,2,0,0,,,0,0,1,80,1,0.12,0,0.05,0.17,0,1,38,0,4,50,2,0.12,0,1,1,1,1,1,4,4,43,100,2,0,50,0,0,0
4193579,Attacker,ST,5,False,90,False,Dejan Kulusevski,5.5,2,0,0,,,0,0,1,85,1,0.03,0,0.08,0.11,0,1,47,8,2,100,3,0.03,0,0,0,4,5,5,2,15,7,50,1,4,0,0,0,0
4193579,Midfielder,CM,3,False,63,False,Pape Sarr,6.3,3,0,0,63,,0,0,0,94,0,0,0,0.02,0.02,0,0,49,0,3,100,1,0,0,3,2,3,5,1,3,5,17,100,1,0,0,0,0,0
4193579,Midfielder,CM,3,False,76,False,Yves Bissouma,6.7,2,0,0,76,,1,0,0,97,0,0,0,0.01,0.01,0,0,90,0,3,100,2,0,67,4,4,11,6,3,5,9,38,0,1,3,100,0,0,0
4193579,Midfielder,CM,3,False,90,False,Pierre-Emile Højbjerg,6.8,2,0,0,,,0,0,0,85,1,0,0,0.03,0.03,0,0,99,0,11,50,0,0,0,2,1,6,4,3,4,5,50,0,3,1,0,0,0,0
4193579,Defender,LB,1,False,90,False,Emerson Royal,6.5,0,0,0,,,1,0,0,94,0,0,0,0.02,0.02,0,0,90,1,3,100,3,0,0,4,2,8,8,3,6,9,42,33,1,1,100,0,0,0
4193579,Defender,CB,1,False,90,False,Ben Davies,6.8,1,0,0,,,0,0,1,94,0,0.06,0,0.01,0.07,0,0,83,1,4,80,0,0.06,67,3,1,13,5,0,6,1,100,50,2,0,0,0,0,0
4193579,Defender,CB,1,False,90,False,Eric Dier,6.3,1,0,0,,,0,0,0,94,0,0,0,0,0,0,0,89,0,4,20,0,0,50,5,3,8,1,0,4,2,100,50,0,0,0,0,0,0
4193579,Defender,RB,1,False,90,False,Pedro Porro,7.7,4 + 1,0,1,,,0,0,0,72,2,0,0,0.62,0.62,0,0,97,1,8,50,1,0,50,5,3,12,4,4,8,7,53,0,2,2,100,0,0,33
4193579,Keeper,GK,0,False,90,True,Guglielmo Vicario,6.4,1,0,0,,,0,0,0,82,0,0,0,0,0,0,0,50,0,0,17,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
4193660,Keeper,GK,0,False,90,True,Guglielmo Vicario,7.5,2,0,0,,,0,0,0,91,0,0,0,0,0,0,0,36,0,0,33,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
4193660,Defender,RB,1,False,90,False,Pedro Porro,7.9,4 + 1,0,1,,,0,0,3,85,4,0.2,0.39,0.44,0.64,33,0,95,5,7,38,0,0.2,100,0,0,3,4,2,4,4,33,100,1,1,0,0,0,30
4193660,Defender,CB,1,False,90,False,Emerson Royal,6.2,1,0,0,,,0,0,1,97,0,0.04,0,0.01,0.05,0,0,104,1,3,100,0,0.04,0,2,0,4,5,1,2,3,33,50,1,1,0,0,0,0
4193660,Defender,CB,1,False,90,False,Ben Davies,6.9,1,0,0,,,0,0,1,94,0,0.24,0,0.02,0.26,0,0,115,1,13,50,1,0.24,67,3,1,9,8,1,7,6,60,50,0,0,0,0,1,50
4193660,Defender,LB,1,False,90,False,Iyenoma Udogie,7.0,1,0,0,,,0,0,1,86,0,0.34,0,0.03,0.37,0,0,65,3,5,0,0,0.34,50,1,0,8,8,1,7,2,75,100,2,1,0,0,1,0
4193660,Midfielder,DM,2,False,32,False,Rodrigo Bentancur,6.8,1,0,0,32,,0,0,0,86,0,0,0,0.28,0.28,0,0,34,0,7,0,0,0,100,0,0,2,1,0,3,0,100,0,1,0,100,0,0,0
4193660,Midfielder,DM,2,False,86,False,Giovani Lo Celso,8.3,7 + 3,1,0,86,,0,0,2,92,3,0.07,0.05,0.09,0.16,100,1,89,3,10,100,0,0.07,25,0,0,8,10,2,7,6,54,0,2,3,50,0,0,0
4193660,Midfielder,RW,4,False,71,False,Bryan Gil,6.7,2,0,0,71,,0,0,1,86,1,0.09,0.04,0.04,0.13,100,0,64,6,3,0,0,0.09,0,0,0,1,3,0,3,3,60,0,0,1,75,0,0,33
4193660,Midfielder,AM,4,False,90,False,Dejan Kulusevski,7.6,2,0,0,,,0,0,3,83,3,0.67,0.23,0.25,0.92,33,0,51,12,1,0,2,0.67,67,0,0,7,2,2,10,11,48,0,1,3,60,0,1,50
4193660,Midfielder,LW,4,False,90,False,Brennan Johnson,6.6,2,0,0,,,0,0,3,81,1,0.63,0.57,0.1,0.73,67,0,39,9,2,50,0,0.63,0,0,0,0,5,1,2,5,29,0,1,0,20,0,1,0
4193660,Attacker,ST,5,True,90,False,Heung-Min Son,6.7,2,0,0,,,0,0,2,88,3,0.13,0.05,0.55,0.68,50,0,32,9,2,100,0,0.13,0,0,0,0,2,1,1,3,33,0,1,0,0,0,0,0
